Date : 2025-06-03 20:27:34
Directory : c:\Users\Aqua\Programming\AeroJS
Total : 557 files,  163665 codes, 53095 comments, 40663 blanks, all 257423 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\core\parser\lexer\token                                                                          |          2 |        418 |        169 |         83 |        670 |
| src\core\parser\sourcemap                                                                            |          1 |         44 |         52 |         16 |        112 |
| src\core\runtime                                                                                     |        123 |     29,051 |     12,267 |      8,697 |     50,015 |
| src\core\runtime (Files)                                                                             |          6 |      1,165 |        562 |        343 |      2,070 |
| src\core\runtime\builtins                                                                            |         63 |     11,674 |      5,424 |      3,720 |     20,818 |
| src\core\runtime\builtins (Files)                                                                    |          4 |        307 |         57 |         86 |        450 |
| src\core\runtime\builtins\array                                                                      |          9 |      1,684 |        743 |        571 |      2,998 |
| src\core\runtime\builtins\bigint                                                                     |          2 |        866 |        334 |        263 |      1,463 |
| src\core\runtime\builtins\boolean                                                                    |          3 |        120 |         93 |         52 |        265 |
| src\core\runtime\builtins\date                                                                       |          2 |        616 |        340 |        201 |      1,157 |
| src\core\runtime\builtins\error                                                                      |          3 |        479 |        258 |        168 |        905 |
| src\core\runtime\builtins\finalization                                                               |          4 |        376 |        260 |        135 |        771 |
| src\core\runtime\builtins\function                                                                   |          3 |        250 |        185 |         94 |        529 |
| src\core\runtime\builtins\json                                                                       |          3 |        702 |        278 |        198 |      1,178 |
| src\core\runtime\builtins\map                                                                        |          2 |        331 |        199 |        120 |        650 |
| src\core\runtime\builtins\math                                                                       |          2 |        504 |        100 |        136 |        740 |
| src\core\runtime\builtins\number                                                                     |          3 |        535 |        404 |        164 |      1,103 |
| src\core\runtime\builtins\promise                                                                    |          3 |      1,159 |        315 |        330 |      1,804 |
| src\core\runtime\builtins\proxy                                                                      |          2 |        840 |        243 |        247 |      1,330 |
| src\core\runtime\builtins\regexp                                                                     |          3 |        618 |        361 |        227 |      1,206 |
| src\core\runtime\builtins\set                                                                        |          3 |        494 |        270 |        163 |        927 |
| src\core\runtime\builtins\string                                                                     |          5 |      1,317 |        601 |        377 |      2,295 |
| src\core\runtime\builtins\weakmap                                                                    |          3 |        302 |        225 |        117 |        644 |
| src\core\runtime\builtins\weakref                                                                    |          4 |        174 |        158 |         71 |        403 |
| src\core\runtime\context                                                                             |          6 |      1,526 |        577 |        446 |      2,549 |
| src\core\runtime\globals                                                                             |          4 |      1,441 |        669 |        436 |      2,546 |
| src\core\runtime\iteration                                                                           |          2 |        736 |        451 |        248 |      1,435 |
| src\core\runtime\reflection                                                                          |          7 |        678 |        425 |        257 |      1,360 |
| src\core\runtime\reflection\context                                                                  |          4 |        399 |        202 |        130 |        731 |
| src\core\runtime\reflection\reflect                                                                  |          3 |        279 |        223 |        127 |        629 |
| src\core\runtime\symbols                                                                             |          2 |        446 |        229 |        119 |        794 |
| src\core\runtime\types                                                                               |          3 |        802 |        619 |        214 |      1,635 |
| src\core\runtime\values                                                                              |         17 |      4,051 |      1,674 |      1,196 |      6,921 |
| src\core\runtime\wasm                                                                                |         13 |      6,532 |      1,637 |      1,718 |      9,887 |
| src\core\transformers                                                                                |         21 |      7,616 |      2,762 |      1,649 |     12,027 |
| src\core\transformers (Files)                                                                        |         19 |      7,240 |      2,633 |      1,550 |     11,423 |
| src\core\transformers\arch                                                                           |          2 |        376 |        129 |         99 |        604 |
| src\core\utils                                                                                       |          1 |        171 |         73 |         41 |        285 |
| src\core\vm                                                                                          |         23 |      4,470 |      2,229 |      1,292 |      7,991 |
| src\core\vm (Files)                                                                                  |          3 |        562 |        211 |        162 |        935 |
| src\core\vm\bytecode                                                                                 |         10 |      1,881 |        986 |        590 |      3,457 |
| src\core\vm\calling                                                                                  |          2 |        388 |        250 |        120 |        758 |
| src\core\vm\exception                                                                                |          2 |        105 |         82 |         44 |        231 |
| src\core\vm\interpreter                                                                              |          4 |      1,418 |        591 |        321 |      2,330 |
| src\core\vm\stack                                                                                    |          2 |        116 |        109 |         55 |        280 |
| src\utils                                                                                            |         33 |      8,258 |      2,197 |      2,318 |     12,773 |
| src\utils (Files)                                                                                    |          4 |        602 |         69 |        177 |        848 |
| src\utils\containers                                                                                 |          4 |      1,106 |        325 |        292 |      1,723 |
| src\utils\containers (Files)                                                                         |          1 |         75 |          0 |         28 |        103 |
| src\utils\containers\hashmap                                                                         |          2 |        709 |        283 |        174 |      1,166 |
| src\utils\containers\string                                                                          |          1 |        322 |         42 |         90 |        454 |
| src\utils\memory                                                                                     |         20 |      5,949 |      1,545 |      1,702 |      9,196 |
| src\utils\memory (Files)                                                                             |          1 |         69 |          0 |         30 |         99 |
| src\utils\memory\allocators                                                                          |          2 |        471 |        140 |        135 |        746 |
| src\utils\memory\gc                                                                                  |         11 |      4,745 |      1,012 |      1,334 |      7,091 |
| src\utils\memory\pool                                                                                |          2 |        161 |        152 |         61 |        374 |
| src\utils\memory\smart_ptr                                                                           |          4 |        503 |        241 |        142 |        886 |
| src\utils\platform                                                                                   |          3 |        517 |        240 |        122 |        879 |
| src\utils\time                                                                                       |          2 |         84 |         18 |         25 |        127 |
| tests                                                                                                |         17 |      3,491 |        966 |      1,035 |      5,492 |
| tests\core                                                                                           |          6 |      1,069 |        232 |        306 |      1,607 |
| tests\core (Files)                                                                                   |          3 |        502 |         90 |        148 |        740 |
| tests\core\runtime                                                                                   |          3 |        567 |        142 |        158 |        867 |
| tests\core\runtime\values                                                                            |          3 |        567 |        142 |        158 |        867 |
| tests\integration                                                                                    |          1 |        197 |         62 |         64 |        323 |
| tests\jit                                                                                            |          6 |      1,171 |        433 |        407 |      2,011 |
| tests\jit (Files)                                                                                    |          3 |        409 |        177 |        152 |        738 |
| tests\jit\ir                                                                                         |          1 |        295 |        115 |        103 |        513 |
| tests\jit\metatracing                                                                                |          1 |        200 |         65 |         63 |        328 |
| tests\jit\profiler                                                                                   |          1 |        267 |         76 |         89 |        432 |
| tests\performance                                                                                    |          2 |        746 |        158 |        170 |      1,074 |
| tests\transformers                                                                                   |          2 |        308 |         81 |         88 |        477 |
| utils                                                                                                |          1 |          0 |          1 |          0 |          1 |
| utils\memory                                                                                         |          1 |          0 |          1 |          0 |          1 |
| utils\memory\gc                                                                                      |          1 |          0 |          1 |          0 |          1 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Aqua\Programming\AeroJS\.github\PULL_REQUEST_TEMPLATE.md                                    | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Aqua\Programming\AeroJS\CHANGELOG.md                                                        | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Aqua\Programming\AeroJS\CODE_OF_CONDUCT.md                                                  | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Aqua\Programming\AeroJS\CONTRIBUTING.md                                                     | Markdown   |          0 |          0 |          1 |          1 |
| c:\Users\Aqua\Programming\AeroJS\FINAL_IMPLEMENTATION_GUIDE.md                                       | Markdown   |        233 |          0 |         78 |        311 |
| c:\Users\Aqua\Programming\AeroJS\IMPLEMENTATION_SUMMARY.md                                           | Markdown   |        165 |          0 |         34 |        199 |
| c:\Users\Aqua\Programming\AeroJS\README.md                                                           | Markdown   |        203 |          0 |         57 |        260 |
| c:\Users\Aqua\Programming\AeroJS\SUMMARY.md                                                          | Markdown   |         49 |          0 |         18 |         67 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\core.md                                                    | Markdown   |        201 |          0 |         74 |        275 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\jit.md                                                     | Markdown   |        334 |          0 |        115 |        449 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\parser.md                                                  | Markdown   |        809 |          0 |        237 |      1,046 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\transformers.md                                            | Markdown   |        618 |          0 |        214 |        832 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\transformers\parallel_array_optimization.md                | Markdown   |        154 |          0 |         52 |        206 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\utils.md                                                   | Markdown   |        667 |          0 |        223 |        890 |
| c:\Users\Aqua\Programming\AeroJS\docs\api\vm.md                                                      | Markdown   |        260 |          0 |         88 |        348 |
| c:\Users\Aqua\Programming\AeroJS\docs\implemented_features.md                                        | Markdown   |         32 |          0 |         11 |         43 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\aerojs.h                                             | C++        |        222 |         50 |         24 |        296 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\arm64_jit.h                                          | C++        |        136 |         54 |         22 |        212 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\context.h                                            | C++        |        145 |        316 |         55 |        516 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\engine.h                                             | C++        |        141 |        231 |         43 |        415 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\hyper_gc.h                                           | C++        |         98 |         27 |         18 |        143 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\jit.h                                                | C++        |         87 |        106 |         20 |        213 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\optimizer.h                                          | C++        |        205 |        177 |         32 |        414 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\parallel.h                                           | C++        |        136 |        241 |         42 |        419 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\quantum_jit.h                                        | C++        |         68 |         25 |         16 |        109 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\simd.h                                               | C++        |        217 |        285 |         41 |        543 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\transformers\parallel_array_optimization.h           | C++        |         55 |         78 |         31 |        164 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\ultra_parser.h                                       | C++        |        168 |         84 |         39 |        291 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\value.h                                              | C++        |        115 |         87 |         67 |        269 |
| c:\Users\Aqua\Programming\AeroJS\include\aerojs\world_class_engine.h                                 | C++        |        121 |         38 |         26 |        185 |
| c:\Users\Aqua\Programming\AeroJS\include\nlohmann\json.hpp                                           | C++        |     17,980 |      4,492 |      3,055 |     25,527 |
| c:\Users\Aqua\Programming\AeroJS\include\nlohmann\json_fwd.hpp                                       | C++        |         24 |          7 |          7 |         38 |
| c:\Users\Aqua\Programming\AeroJS\rules\directory_structure.md                                        | Markdown   |        376 |          0 |         25 |        401 |
| c:\Users\Aqua\Programming\AeroJS\rules\specifications.md                                             | Markdown   |        519 |          0 |        151 |        670 |
| c:\Users\Aqua\Programming\AeroJS\rules\technical_requirements.md                                     | Markdown   |        513 |          0 |         26 |        539 |
| c:\Users\Aqua\Programming\AeroJS\src\core\README.md                                                  | Markdown   |         29 |          0 |         14 |         43 |
| c:\Users\Aqua\Programming\AeroJS\src\core\context.cpp                                                | C++        |         85 |         14 |         19 |        118 |
| c:\Users\Aqua\Programming\AeroJS\src\core\context.h                                                  | C++        |        168 |         48 |         44 |        260 |
| c:\Users\Aqua\Programming\AeroJS\src\core\dummy.cpp                                                  | C++        |         16 |         11 |          7 |         34 |
| c:\Users\Aqua\Programming\AeroJS\src\core\engine.cpp                                                 | C++        |        536 |         50 |        119 |        705 |
| c:\Users\Aqua\Programming\AeroJS\src\core\engine.h                                                   | C++        |        150 |         39 |         30 |        219 |
| c:\Users\Aqua\Programming\AeroJS\src\core\exception.cpp                                              | C++        |        222 |         45 |         48 |        315 |
| c:\Users\Aqua\Programming\AeroJS\src\core\exception.h                                                | C++        |         67 |         70 |         23 |        160 |
| c:\Users\Aqua\Programming\AeroJS\src\core\hyper_gc.cpp                                               | C++        |        170 |         24 |         61 |        255 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\README.md                                              | Markdown   |         72 |          0 |         23 |         95 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\advanced_jit.h                                         | C++        |        146 |         50 |         33 |        229 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\arch_support.h                                         | C++        |         58 |         29 |         12 |         99 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_assembler.cpp                      | C++        |        518 |        112 |         93 |        723 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_assembler.h                        | C++        |        358 |         62 |         76 |        496 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_backend.cpp                        | C++        |        934 |        188 |        218 |      1,340 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_backend.h                          | C++        |        102 |         80 |         41 |        223 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_branch.cpp                         | C++        |        210 |         73 |         60 |        343 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_branch.h                           | C++        |         71 |        126 |         26 |        223 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_code_gen.cpp                       | C++        |        780 |        172 |        211 |      1,163 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_code_gen.h                         | C++        |        201 |         45 |         45 |        291 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_code_generator.cpp                 | C++        |        339 |         77 |         54 |        470 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_code_generator.h                   | C++        |         24 |         49 |         14 |         87 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_features.cpp                       | C++        |        219 |         66 |         45 |        330 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_jit_compiler.cpp                   | C++        |      1,038 |        223 |        295 |      1,556 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_jit_compiler.h                     | C++        |        293 |         80 |         76 |        449 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_simd.cpp                           | C++        |        570 |        162 |        181 |        913 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_simd.h                             | C++        |         87 |        165 |         28 |        280 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_sve.cpp                            | C++        |      1,154 |        500 |        374 |      2,028 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\arm64\arm64_sve.h                              | C++        |         72 |        197 |         29 |        298 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\backend_factory.cpp                            | C++        |        443 |         68 |         85 |        596 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\backend_factory.h                              | C++        |         26 |         43 |         14 |         83 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_branch.cpp                         | C++        |        175 |         33 |         49 |        257 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_branch.h                           | C++        |         46 |         98 |         21 |        165 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_code_generator.cpp                 | C++        |      1,388 |        395 |        339 |      2,122 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_code_generator.h                   | C++        |        149 |         37 |         34 |        220 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_jit_compiler.cpp                   | C++        |      1,481 |        349 |        434 |      2,264 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_jit_compiler.h                     | C++        |        273 |         45 |         38 |        356 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_vector.cpp                         | C++        |        753 |        284 |        268 |      1,305 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\riscv\riscv_vector.h                           | C++        |         87 |        350 |         48 |        485 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\x86_64\jit_x86_64.cpp                          | C++        |        839 |        160 |        200 |      1,199 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\x86_64\jit_x86_64.h                            | C++        |        177 |        113 |         50 |        340 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\x86_64\x86_64_code_generator.cpp               | C++        |      2,634 |        433 |        601 |      3,668 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\x86_64\x86_64_code_generator.h                 | C++        |        327 |        137 |         81 |        545 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\x86_64\x86_64_registers.cpp                    | C++        |        193 |         21 |         41 |        255 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\backend\x86_64\x86_64_registers.h                      | C++        |         80 |         95 |         30 |        205 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\baseline_jit.cpp                              | C++        |      1,010 |        358 |        281 |      1,649 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\baseline_jit.h                                | C++        |         39 |         24 |         18 |         81 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\bytecode_decoder.cpp                          | C++        |        190 |         12 |         33 |        235 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\bytecode_decoder.h                            | C++        |         60 |         50 |         20 |        130 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\bytecode_emitter.h                            | C++        |         72 |         29 |         23 |        124 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\code_profiler.cpp                             | C++        |        448 |         45 |        118 |        611 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\code_profiler.h                               | C++        |        143 |        160 |         52 |        355 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\inline_cache_manager.cpp                      | C++        |        343 |         35 |         96 |        474 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\inline_cache_manager.h                        | C++        |        103 |        167 |         52 |        322 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_builder.cpp                                | C++        |        317 |         55 |         51 |        423 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_builder.h                                  | C++        |         31 |         34 |         17 |         82 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_generator.cpp                              | C++        |        309 |         57 |         67 |        433 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_generator.h                                | C++        |         41 |        100 |         27 |        168 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_optimizer.cpp                              | C++        |        723 |        112 |        169 |      1,004 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_optimizer.h                                | C++        |        106 |        128 |         41 |        275 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_validator.cpp                              | C++        |        509 |         52 |         96 |        657 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\ir_validator.h                                | C++        |         73 |         87 |         26 |        186 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\register_allocator.cpp                        | C++        |        318 |         56 |         53 |        427 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\register_allocator.h                          | C++        |         64 |         82 |         27 |        173 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\simd_optimizer.h                              | C++        |        105 |        105 |         31 |        241 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\type_inference.cpp                            | C++        |        387 |         54 |        101 |        542 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\baseline\type_inference.h                              | C++        |         97 |        180 |         50 |        327 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode.cpp                                  | C++        |        353 |         24 |         79 |        456 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode.h                                    | C++        |        340 |         30 |         66 |        436 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_function.h                           | C++        |         43 |         96 |         25 |        164 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_generator.h                          | C++        |        562 |        127 |        145 |        834 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_instruction.cpp                      | C++        |        226 |         12 |         42 |        280 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_instruction.h                        | C++        |        104 |        137 |         41 |        282 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_module.cpp                           | C++        |        179 |          7 |         38 |        224 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_module.h                             | C++        |         88 |         66 |         29 |        183 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_opcodes.h                            | C++        |        399 |         40 |         70 |        509 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_parser.cpp                           | C++        |        204 |         33 |         49 |        286 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_parser.h                             | C++        |        257 |         41 |         59 |        357 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\bytecode\bytecode_structure.h                          | C++        |        279 |         36 |         50 |        365 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\code_cache.cpp                                         | C++        |        197 |         36 |         53 |        286 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\code_cache.h                                           | C++        |        339 |         96 |         84 |        519 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\deoptimizer\deoptimizer.cpp                            | C++        |        262 |         53 |         66 |        381 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\deoptimizer\deoptimizer.h                              | C++        |         44 |         40 |         15 |         99 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\ic\arm64_ic_generator.cpp                              | C++        |        433 |        254 |        199 |        886 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\ic\arm64_ic_generator.h                                | C++        |         17 |         41 |         10 |         68 |
| c:\Users\Aqua\Programming\AeroJS\src\core\jit\ic\code_buffer.cpp                                     | C++        |        119 |         24 |         27 |        170 |
